date,Intercept,beta1,beta2
2018-07-12,-8.953732,-0.6652349,0.9236836
2018-07-13,-9.552598,-0.6938345,0.9647114
2018-07-14,-8.285554,-0.6511514,0.8981919
2018-07-15,-8.466855,-0.6625781,0.9138073
2018-07-16,-7.957119,-0.6323425,0.8718116
2018-07-17,-7.957908,-0.6324312,0.8718864
2018-07-18,-7.949408,-0.6324825,0.8719431
2018-07-19,-7.940993,-0.6325335,0.8719993
2018-07-20,-8.166553,-0.648558,0.8936304
2018-07-21,-8.047449,-0.6399507,0.8819151
2018-07-22,-7.952188,-0.632716,0.8721225
2018-07-23,-7.746038,-0.6183271,0.8527464
2018-07-24,-7.786187,-0.6214007,0.8567953
2018-07-25,-7.77761,-0.6214533,0.8568531
2018-07-26,-7.769118,-0.6215056,0.8569104
2018-07-27,-8.094733,-0.6445569,0.8879879
2018-07-28,-8.038974,-0.6402561,0.8821347
2018-07-29,-8.442643,-0.665402,0.9165816
2018-07-30,-8.568681,-0.6723914,0.926189
2018-07-31,-8.474815,-0.6668987,0.9185409
2018-08-01,-8.469471,-0.6669046,0.9185321
2018-08-02,-8.464252,-0.666909,0.9185212
2018-08-03,-8.722684,-0.6805366,0.9373884
2018-08-04,-8.549048,-0.6711792,0.9243086
2018-08-05,-8.433462,-0.664345,0.9148332
2018-08-06,-8.563893,-0.6712743,0.9243446
2018-08-07,-9.027417,-0.6934489,0.9554716
2018-08-08,-9.025659,-0.6933937,0.9553741
2018-08-09,-9.024002,-0.6933395,0.9552783
2018-08-10,-8.683258,-0.6781499,0.9337093
2018-08-11,-8.585749,-0.672812,0.9262588
2018-08-12,-8.129489,-0.6493238,0.8935449
2018-08-13,-8.133619,-0.6493808,0.8935796
2018-08-14,-8.137862,-0.6494379,0.8936144
2018-08-15,-8.137862,-0.6494379,0.8936144
2018-08-16,-8.132081,-0.6494657,0.8936382
2018-08-17,-8.233841,-0.6551786,0.901363
2018-08-18,-8.244199,-0.6552039,0.9013696
2018-08-19,-8.130555,-0.6482305,0.8918393
2018-08-20,-7.869668,-0.6329157,0.8710099
2018-08-21,-7.3438,-0.6022599,0.8293771
2018-08-22,-7.335835,-0.6023237,0.8294515
2018-08-23,-7.327943,-0.6023878,0.8295265
2018-08-24,-7.138941,-0.5890752,0.8119469
2018-08-25,-7.36972,-0.6056443,0.8337273
2018-08-26,-7.420852,-0.608719,0.8377544
2018-08-27,-7.658693,-0.6250392,0.8594263
2018-08-28,-7.638493,-0.6236731,0.8575617
2018-08-29,-7.63167,-0.6237295,0.8576274
2018-08-30,-7.624911,-0.623786,0.8576934
2018-08-31,-7.422049,-0.6108129,0.8403495
2018-09-01,-7.65109,-0.6255686,0.8599526
2018-09-02,-7.499124,-0.6154241,0.8463824
2018-09-03,-7.433869,-0.6110995,0.8406047
2018-09-04,-7.279806,-0.6008716,0.8270275
2018-09-05,-7.272349,-0.6009419,0.8271129
2018-09-06,-7.26495,-0.6010125,0.8271989
2018-09-07,-7.309808,-0.6041615,0.8313062
2018-09-08,-7.539125,-0.6189614,0.8508957
2018-09-09,-7.455949,-0.6131475,0.8431359
2018-09-10,-7.549372,-0.619177,0.8510982
2018-09-11,-7.669076,-0.6265928,0.8609388
2018-09-12,-7.662783,-0.6266496,0.8610065
2018-09-13,-7.656531,-0.6267062,0.8610739
2018-09-14,-7.781367,-0.6340049,0.8707991
2018-09-15,-7.941852,-0.6425494,0.8822582
2018-09-16,-7.95194,-0.6425891,0.8822811
2018-09-17,-7.596248,-0.6235674,0.8564992
2018-09-18,-7.454672,-0.6150115,0.8450585
2018-09-19,-7.448043,-0.6150783,0.8451409
2018-09-20,-7.441454,-0.6151449,0.845223
2018-09-21,-7.49139,-0.6182056,0.8492447
2018-09-22,-7.357173,-0.6095538,0.8377201
2018-09-23,-7.272917,-0.6037307,0.8299889
2018-09-24,-7.235831,-0.6008366,0.8261396
2018-09-25,-7.29021,-0.6038951,0.8301333
2018-09-26,-7.29021,-0.6038951,0.8301333
2018-09-27,-7.28327,-0.6039696,0.8302268
2018-09-28,-7.276371,-0.6040439,0.83032
2018-09-29,-7.276371,-0.6040439,0.83032
2018-09-30,-7.238912,-0.6011599,0.8264833
2018-10-01,-7.125444,-0.5939152,0.8169087
2018-10-02,-7.12688,-0.5940852,0.8170919
2018-10-03,-7.12688,-0.5940852,0.8170919
2018-10-04,-7.119784,-0.5941651,0.8171931
2018-10-05,-7.166858,-0.5973185,0.8212931
2018-10-06,-7.221614,-0.6003764,0.8252775
2018-10-07,-7.464126,-0.6149811,0.8445625
2018-10-08,-7.78936,-0.6333585,0.8690796
2018-10-09,-7.78936,-0.6333585,0.8690796
2018-10-10,-7.783581,-0.6334022,0.8691286
2018-10-11,-7.777829,-0.633445,0.8691764
2018-10-12,-7.861969,-0.6377083,0.8748496
2018-10-13,-7.657083,-0.6267979,0.8601569
2018-10-14,-7.955687,-0.6420231,0.8805584
2018-10-15,-8.100486,-0.6488725,0.8897589
2018-10-16,-8.020012,-0.644918,0.8843642
2018-10-17,-8.014752,-0.6449426,0.8843851
2018-10-18,-8.009515,-0.6449664,0.8844049
2018-10-19,-8.333688,-0.6594747,0.9040683
2018-10-20,-8.344772,-0.6595053,0.9040805
2018-10-21,-8.143394,-0.6505294,0.8917942
2018-10-22,-8.448951,-0.6635426,0.909493
2018-10-23,-8.487499,-0.6648414,0.9112316
2018-10-24,-8.483126,-0.6648389,0.9112138
2018-10-25,-8.478755,-0.6648368,0.9111966
2018-10-26,-8.295584,-0.6573055,0.9008173
2018-10-27,-8.093024,-0.6483508,0.8885861
2018-10-28,-7.869712,-0.637898,0.8744157
2018-10-29,-8.045514,-0.6460375,0.88532
2018-10-30,-7.846794,-0.636876,0.8729111
2018-10-31,-7.841293,-0.636908,0.8729433
2018-11-01,-7.835807,-0.6369395,0.8729749
2018-11-02,-8.158159,-0.6515242,0.8926052
2018-11-03,-8.108252,-0.6489616,0.8891016
2018-11-04,-7.999093,-0.6437745,0.8820568
2018-11-05,-7.799551,-0.6346318,0.8696971
2018-11-06,-7.861118,-0.6374222,0.8733888
2018-11-07,-7.855619,-0.6374518,0.8734178
2018-11-08,-7.850129,-0.6374804,0.8734452
2018-11-09,-7.682514,-0.6295772,0.8628098
2018-11-10,-7.553165,-0.6228593,0.8538209
2018-11-11,-7.617583,-0.6256856,0.8575401
2018-11-12,-7.346943,-0.6123155,0.8396879
2018-11-13,-7.009917,-0.5947098,0.8163301
2018-11-14,-7.003389,-0.5947833,0.8164236
2018-11-15,-6.996888,-0.5948558,0.8165158
2018-11-16,-6.974277,-0.5935865,0.8148151
2018-11-17,-6.735434,-0.5794609,0.7962862
2018-11-18,-7.077255,-0.5993909,0.8223689
2018-11-19,-7.079764,-0.5995574,0.8225453
2018-11-20,-7.005956,-0.5954443,0.8171141
2018-11-21,-6.999565,-0.5955114,0.8171983
2018-11-22,-6.993226,-0.5955769,0.81728
2018-11-23,-7.071622,-0.6000265,0.8230601
2018-11-24,-6.824258,-0.5861706,0.804839
2018-11-25,-6.85728,-0.58774,0.8068441
2018-11-26,-6.958572,-0.5936826,0.8145542
2018-11-27,-6.834514,-0.5867328,0.8054345
2018-11-28,-6.828146,-0.5868027,0.8055228
2018-11-29,-6.821847,-0.5868713,0.8056092
2018-11-30,-6.898919,-0.5913635,0.8114186
2018-12-01,-6.806331,-0.5857739,0.8040909
2018-12-02,-6.690327,-0.5787147,0.794868
2018-12-03,-6.521055,-0.5688169,0.7819872
2018-12-04,-6.45101,-0.5646239,0.7765344
2018-12-05,-6.444436,-0.564709,0.7766448
2018-12-06,-6.43792,-0.5647933,0.776754
2018-12-07,-6.178178,-0.5491657,0.7565491
2018-12-08,-6.14005,-0.5463192,0.7528662
2018-12-09,-6.147322,-0.5464897,0.7530427
2018-12-10,-6.147892,-0.5467559,0.7533444
2018-12-11,-6.21662,-0.5515147,0.7593962
2018-12-12,-6.210046,-0.5516058,0.7595152
2018-12-13,-6.203527,-0.5516963,0.7596334
2018-12-14,-6.065413,-0.5430489,0.7485227
2018-12-15,-6.185578,-0.5506811,0.7582411
2018-12-16,-6.169843,-0.5493584,0.756506
2018-12-17,-6.031609,-0.5407203,0.7454192
2018-12-18,-6.213035,-0.5527668,0.7608005
2018-12-19,-6.206703,-0.5528552,0.760916
2018-12-20,-6.200431,-0.5529432,0.7610311
2018-12-21,-6.22519,-0.554677,0.7632132
2018-12-22,-6.398423,-0.5649962,0.7764447
2018-12-23,-6.430752,-0.5666024,0.7784716
2018-12-24,-6.260149,-0.5567972,0.765793
2018-12-25,-6.260149,-0.5567972,0.765793
2018-12-26,-6.254105,-0.5568822,0.7659041
2018-12-27,-6.248132,-0.556967,0.7660151
2018-12-28,-6.153486,-0.5513733,0.7588007
2018-12-29,-5.922949,-0.5371274,0.7405127
2018-12-30,-5.60675,-0.5174331,0.7153745
2018-12-31,-5.60675,-0.5174331,0.7153745
2019-01-01,-5.60675,-0.5174331,0.7153745
2019-01-02,-5.600267,-0.5175349,0.7155078
2019-01-03,-5.593828,-0.5176365,0.7156408
2019-01-04,-5.746021,-0.5283884,0.7292039
2019-01-05,-5.775174,-0.530098,0.7313264
2019-01-06,-5.485431,-0.5116684,0.707902
2019-01-07,-5.571615,-0.5180474,0.7158911
2019-01-08,-5.213364,-0.496177,0.688244
2019-01-09,-5.206964,-0.4962808,0.6883784
2019-01-10,-5.200601,-0.4963846,0.6885128
